Model,LogP,MW,HBA,HBD
MolT5,7.0778,185.2186,6.6189,3.3878
DrugAssist-7B,5.0106,286.2463,3.3165,2.3286
LLaMA2-7B-chat,4.2555,260.9893,2.6071,1.6000
Multimodal (Text-only),0.5804,41.1071,0.9465,0.1287
Multimodal (Full),0.3641,13.7170,0.4083,0.0667
