Model,LogP,MW,HBA,HBD
MolT5,7.6970,227.6157,9.4338,4.2588
DrugAssist-7B,6.3040,330.2272,4.2649,3.7206
LLaMA2-7B-chat,4.9765,289.0195,3.2678,2.1448
Multimodal (Text-only),0.7740,55.3057,1.2105,0.3723
Multimodal (Full),0.4981,20.1245,0.6828,0.2694
